Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2018-1293;2018;Long métrage;La Verité;Hirokazu Kore-Eda;3B Production;100 rue mouffetard, 75005 paris;75005;2018-11-09;2018-11-10;2.34955506;48.84129975;"{""coordinates"": [2.3495550599403665, 48.84129975185761], ""type"": ""Point""}";48.84129975185761, 2.3495550599403665
2019-1524;2019;Long métrage;LES DEUX ALFRED;Bruno Podalydès;WHY NOT PRODUCTIONS;avenue de choisy, 75013 paris;75013;2019-11-01;2019-11-01;2.3583953;48.82811151;"{""coordinates"": [2.3583953009465852, 48.828111508466826], ""type"": ""Point""}";48.828111508466826, 2.3583953009465852
2019-1529;2019;Série TV;MODERN FAMILY - Saison 11 - FINALE;Jim Bagdonas;FROGGIE PRODUCTION;21 avenue kléber, 75116 paris;75116;2019-11-13;2019-11-13;2.29282035;48.87032578;"{""coordinates"": [2.2928203533822575, 48.87032577631454], ""type"": ""Point""}";48.87032577631454, 2.2928203533822575
2018-895;2018;Série TV;THE THUNDER;;Europe Film and TV Co Production;63 boulevard des batignolles, 75008 paris;75008;2018-08-01;2018-08-03;2.31733098;48.88126465;"{""coordinates"": [2.3173309801299937, 48.8812646523452], ""type"": ""Point""}";48.8812646523452, 2.3173309801299937
2018-902;2018;Série TV;Osmosis;Julis Berge - Philippe Larue;CAPA SERIES;rue bonaparte, 75006 paris;75006;2018-07-31;2018-07-31;2.3326985;48.85027178;"{""coordinates"": [2.3326985029738543, 48.85027178321409], ""type"": ""Point""}";48.85027178321409, 2.3326985029738543
2018-921;2018;Long métrage;Les Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;4 rue manin, 75019 paris;75019;2018-08-08;2018-08-08;2.38208807;48.88213499;"{""coordinates"": [2.3820880704061613, 48.88213499024688], ""type"": ""Point""}";48.88213499024688, 2.3820880704061613
2016-2645;2016;Série TV;10%/SAISON 2;JEANNE HERRY;MON VOISIN PRODUCTIONS;83  AVENUE  KELEBER;75016;2016-10-05;2016-10-05;2.288686;48.864621;"{""coordinates"": [2.2886860004712295, 48.86462099982945], ""type"": ""Point""}";48.86462099982945, 2.2886860004712295
2016-2663;2016;Long métrage;SI J'ETAIS UN HOMME;AUDREY DANA;CURIOSA FILMS;SQUARE  DE LA PLACE DE LA REUNION;75020;2016-02-17;2016-02-17;2.406276;48.857722;"{""coordinates"": [2.4062759999279746, 48.857721999764195], ""type"": ""Point""}";48.857721999764195, 2.4062759999279746
2020-1084;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue jean dunand, 75013 paris;75013;2020-12-22;2020-12-22;2.36400073;48.82292825;"{""coordinates"": [2.364000734207046, 48.82292824880375], ""type"": ""Point""}";48.82292824880375, 2.364000734207046
2020-1085;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue jean dunand, 75013 paris;75013;2020-12-22;2020-12-22;2.36400073;48.82292825;"{""coordinates"": [2.364000734207046, 48.82292824880375], ""type"": ""Point""}";48.82292824880375, 2.364000734207046
2020-1116;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;place georges moustaki, 75005 paris;75005;2020-12-22;2020-12-22;2.35022223;48.83941359;"{""coordinates"": [2.350222234757217, 48.839413588078216], ""type"": ""Point""}";48.839413588078216, 2.350222234757217
2019-192;2019;Série TV;FAMILY BUSINESS S1;IGOR GOTESMAN;SAS LES FILMS DU KIOSQUE;place edwige feuillère, 75007 paris;75007;2019-02-19;2019-02-19;2.30121377;48.85963901;"{""coordinates"": [2.301213774091084, 48.85963900891699], ""type"": ""Point""}";48.85963900891699, 2.301213774091084
2019-553;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;quai d'austerlitz, 75013 paris;75013;2019-05-27;2019-05-28;2.37195434;48.83921703;"{""coordinates"": [2.3719543428165752, 48.839217025770175], ""type"": ""Point""}";48.839217025770175, 2.3719543428165752
2019-554;2019;Long métrage;VILLA CAPRICE;BERNARD STORA;JPG FILMS;67 rue de lille, 75007 paris;75007;2019-05-27;2019-05-27;2.32582933;48.85961141;"{""coordinates"": [2.3258293346502557, 48.85961140733348], ""type"": ""Point""}";48.85961140733348, 2.3258293346502557
2019-557;2019;Série TV;BARON NOIR;ANTOINE CHEVROLLIER;KWAÏ;place jussieu, 75005 paris;75005;2019-06-10;2019-06-11;2.355222;48.84612433;"{""coordinates"": [2.355221997015103, 48.84612433226642], ""type"": ""Point""}";48.84612433226642, 2.355221997015103
2019-566;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;59 rue claude decaen, 75012 paris;75012;2019-05-30;2019-05-30;2.39800084;48.83693269;"{""coordinates"": [2.398000838590899, 48.83693269311542], ""type"": ""Point""}";48.83693269311542, 2.398000838590899
2019-574;2019;Série TV;FAITES DES GOSSES SAISON 1 - EPISODE 5 A 6;PHILIPPE LEFEBVRE;ELEPHANT STORY;40 rue de l'ourcq, 75019 paris;75019;2019-06-03;2019-06-04;2.38099094;48.89147262;"{""coordinates"": [2.380990939996528, 48.89147261506098], ""type"": ""Point""}";48.89147261506098, 2.380990939996528
2019-578;2019;Long métrage;TOUT SIMPLEMENT NOIR;JEAN PASCAL ZADI ET JOHN WAXXX;GAUMONT;avenue elisée reclus, 75007 paris;75007;2019-05-31;2019-05-31;2.29796515;48.85822906;"{""coordinates"": [2.2979651540217607, 48.85822906224245], ""type"": ""Point""}";48.85822906224245, 2.2979651540217607
2019-1576;2019;Série Web;SKAM SAISON 5 ET 6 SEMAINE 7 SUR 9;;GETEVE PRODUCTIONS;121 avenue parmentier, 75011 paris;75011;2019-11-20;2019-11-21;2.37184052;48.8686712;"{""coordinates"": [2.3718405206774347, 48.86867119701339], ""type"": ""Point""}";48.86867119701339, 2.3718405206774347
2016-2586;2016;Long métrage;THE ESCAPE;DOMINIC SAVAGE;HANNA FILMS;4  RUE  MAZAGRAN;75010;2016-10-22;2016-10-22;2.351399;48.870312;"{""coordinates"": [2.351399000573803, 48.870312000017286], ""type"": ""Point""}";48.870312000017286, 2.351399000573803
2016-2611;2016;Long métrage;KO;FABRICE GOBERT;247 FILMS;16  AVENUE  FOCH;75016;2016-10-07;2016-10-07;2.290801;48.873924;"{""coordinates"": [2.2908009999657017, 48.8739239999736], ""type"": ""Point""}";48.8739239999736, 2.2908009999657017
2019-465;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;59 avenue de ségur, 75007 paris;75007;2019-04-30;2019-05-01;2.30765215;48.84903475;"{""coordinates"": [2.3076521468566913, 48.84903475045076], ""type"": ""Point""}";48.84903475045076, 2.3076521468566913
2019-470;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;34 rue de belleville, 75020 paris;75020;2019-05-07;2019-05-08;2.38010359;48.87282721;"{""coordinates"": [2.380103591609187, 48.87282720721639], ""type"": ""Point""}";48.87282720721639, 2.380103591609187
2019-484;2019;Long métrage;Mon Cousin;Jan Kounen;ESKWAD;route de la grande cascade, 75016 paris;75016;2019-05-06;2019-05-06;2.249851;48.86342957;"{""coordinates"": [2.249851004414431, 48.863429571365515], ""type"": ""Point""}";48.863429571365515, 2.249851004414431
2019-502;2019;Long métrage;TOUT SIMPLEMENT NOIR;JEAN PASCAL ZADI ET JOHN WAXXX;GAUMONT;place de l'hotel de ville-esplanade de la libération, 75004 paris;75004;2019-05-20;2019-05-20;2.35074082;48.85619429;"{""coordinates"": [2.3507408215230643, 48.85619428585332], ""type"": ""Point""}";48.85619428585332, 2.3507408215230643
2018-1273;2018;Long métrage;DEUX MOI;CEDRIC KLAPISCH;CE QUI ME MEUT;pont saint-louis, 75004 paris;75004;2018-10-26;2018-10-26;2.35230612;48.85266597;"{""coordinates"": [2.3523061234219385, 48.85266596442353], ""type"": ""Point""}";48.85266596442353, 2.3523061234219385
2019-1710;2019;Série TV;Arsène Lupin;Louis LETERRIER;Gaumont production télévision;2 rue eugène spuller, 75003 paris;75003;2019-12-06;2019-12-06;2.36153196;48.86399203;"{""coordinates"": [2.361531961565592, 48.863992026300004], ""type"": ""Point""}";48.863992026300004, 2.361531961565592
2019-1716;2019;Long métrage;TROP D'AMOUR;Frankie WALLACH;EX NIHILO;5 boulevard poissonnière, 75002 paris;75002;2019-12-09;2019-12-09;2.3472605;48.87062285;"{""coordinates"": [2.34726050034453, 48.87062285230424], ""type"": ""Point""}";48.87062285230424, 2.34726050034453
2018-1070;2018;Long métrage;La nuit, je mens...;Stéphane Batut;ZADIG FILMS;quai de l'oise, 75019 paris;75019;2018-09-12;2018-09-13;2.38502806;48.89206725;"{""coordinates"": [2.385028056263127, 48.89206724507136], ""type"": ""Point""}";48.89206724507136, 2.385028056263127
2016-653;2016;Série TV;LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;CHABRAQUE PRODUCTIONS;PASSAGE  DELESSERT;75010;2016-10-27;2016-10-27;2.365514;48.878903;"{""coordinates"": [2.3655140004155055, 48.87890300003652], ""type"": ""Point""}";48.87890300003652, 2.3655140004155055
2016-659;2016;Long métrage;IRIS/EX CHAOS;JALIL LESPERT;WY PRODUCTIONS;307 AU 317  RUE  DE BELLEVILLE;75019;2016-03-10;2016-03-10;2.403746;48.876556;"{""coordinates"": [2.4037460001965916, 48.87655600030569], ""type"": ""Point""}";48.87655600030569, 2.4037460001965916
2016-418;2016;Long métrage;UN CONTE INDIEN;HECTOR CABELLO REYES;22H22 PRODUCTION;PONT  DES ARTS;75006;2016-03-06;2016-03-06;2.340567;48.853452;"{""coordinates"": [2.340567000468745, 48.85345199991782], ""type"": ""Point""}";48.85345199991782, 2.340567000468745
2016-420;2016;Long métrage;C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;LGM CINEMA;RUE  DU CHEMIN DE FER;75019;2016-03-10;2016-03-10;2.391171;48.899573;"{""coordinates"": [2.391171000208149, 48.8995730001829], ""type"": ""Point""}";48.8995730001829, 2.391171000208149
2016-438;2016;Série TV;10%/SAISON 2;JEANNE HERRY;MON VOISIN PRODUCTIONS;127  RUE  DU FAUBOURG SAINT HONORE;75008;2016-09-13;2016-09-13;2.309406;48.873274;"{""coordinates"": [2.3094060004740924, 48.87327399970313], ""type"": ""Point""}";48.87327399970313, 2.3094060004740924
2016-446;2016;Long métrage;UNE VIE VIOLENTE;THIERRY DE PERRETI;LES FILMS VELVET;RUE  DE LA GAITE;75014;2016-06-16;2016-06-17;2.323658;48.839646;"{""coordinates"": [2.323658000354998, 48.8396459996041], ""type"": ""Point""}";48.8396459996041, 2.323658000354998
2016-451;2016;Long métrage;LA VIE DE CHATEAU;CEDRIC IDO;SRAB FILMS;55  BOULEVARD  DE STRASBOURG;75010;2016-08-15;2016-08-16;2.356006;48.872852;"{""coordinates"": [2.356006000338816, 48.872852000317366], ""type"": ""Point""}";48.872852000317366, 2.356006000338816
2016-1996;2016;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;AVENUE  GUSTAVE EIFFEL;75007;2016-10-12;2016-10-12;2.294681;48.857581;"{""coordinates"": [2.294681000512787, 48.857580999790834], ""type"": ""Point""}";48.857580999790834, 2.294681000512787
2016-2005;2016;Long métrage;PARIS, LA BLANCHE;LIDIA TERKI;DAY FOR NIGHT;42  RUE  DES COURONNES;75020;2016-02-24;2016-02-25;2.383386;48.869981;"{""coordinates"": [2.38338600021268, 48.86998099962439], ""type"": ""Point""}";48.86998099962439, 2.38338600021268
2016-2054;2016;Long métrage;L'ASCENSION;LUDOVIC BERNARD;DE L'AUTRE COTE DU DU PERIPH;BOULEVARD  DE LA CHAPELLE;75018;2016-03-02;2016-03-02;2.355889;48.884395;"{""coordinates"": [2.355888999475031, 48.88439500035313], ""type"": ""Point""}";48.88439500035313, 2.355888999475031
2016-2056;2016;Long métrage;MON POUSSIN;FREDERIC FORESTIER;LES FILMS DU 24;RUE  FRANCOIS MIRON;75004;2016-03-17;2016-03-17;2.357247;48.855558;"{""coordinates"": [2.3572470000825727, 48.85555799967626], ""type"": ""Point""}";48.85555799967626, 2.3572470000825727
2016-2064;2016;Série TV;JOSEPHINE ANGE GARDIEN/EPISODE 81;DENIS THYBAUD;DEMD PRODUCTIONS;5  RUE  SEDAINE;75011;2016-06-06;2016-06-06;2.37119;48.855646;"{""coordinates"": [2.371189999932296, 48.85564599983961], ""type"": ""Point""}";48.85564599983961, 2.371189999932296
2016-2073;2016;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;CARREFOUR  RUE TRAVERSIERE/R CHARENTON/R CASTELAR;75012;2016-03-17;2016-03-17;2.373575;48.847854;"{""coordinates"": [2.373575000197744, 48.84785400016247], ""type"": ""Point""}";48.84785400016247, 2.373575000197744
2020-636;2020;Série TV;Validé Saison 2;Franck Gastambide / David Diane;Mandarin Télévision - Validé saison 2;77 rue saint-denis, 75001 paris;75001;2020-10-20;2020-10-20;2.34905979;48.8617476;"{""coordinates"": [2.3490597890151603, 48.86174760299807], ""type"": ""Point""}";48.86174760299807, 2.3490597890151603
2020-645;2020;Série TV;Luther;David Morley;STORIA TELEVISION Luther;23 rue robert de flers, 75015 paris;75015;2020-10-14;2020-10-14;2.28369408;48.84906152;"{""coordinates"": [2.283694084244662, 48.84906152394449], ""type"": ""Point""}";48.84906152394449, 2.283694084244662
2020-649;2020;Série TV;UNE MERE PARFAITE;FRED GARSON;QUAD DRAMA - UNE MERE PARFAITE;16 avenue de breteuil, 75007 paris;75007;2020-10-15;2020-10-15;2.31169658;48.85207446;"{""coordinates"": [2.311696577492077, 48.852074458605124], ""type"": ""Point""}";48.852074458605124, 2.311696577492077
2020-662;2020;Long métrage;Les Olympiades;Jacques Audiard;Page 114;6 rue george eastman, 75013 paris;75013;2020-10-19;2020-10-24;2.35945866;48.82921385;"{""coordinates"": [2.359458659894342, 48.82921385001713], ""type"": ""Point""}";48.82921385001713, 2.359458659894342
2018-1054;2018;Série Web;Simone;Maxime Charden, Laurène Dervieux;My Fantasy;20 rue juliette dodu, 75010 paris;75010;2018-09-17;2018-09-17;2.3688573;48.8758716;"{""coordinates"": [2.3688572976758895, 48.87587160284376], ""type"": ""Point""}";48.87587160284376, 2.3688572976758895
2019-99;2019;Série TV;12 Points;Daniel Syrkin;BANDE ORGANISEE STUDIO;2 rue d'aubervilliers, 75019 paris;75019;2019-02-07;2019-02-07;2.36507661;48.88462824;"{""coordinates"": [2.365076614091831, 48.88462824182605], ""type"": ""Point""}";48.88462824182605, 2.365076614091831
2019-382;2019;Série TV;Plan Coeur S2;Noemie Saglio - Renaud Bertrand;MyBox Films;6 rue chauveau-lagarde, 75008 paris;75008;2019-04-05;2019-04-06;2.32391561;48.87131528;"{""coordinates"": [2.323915611687755, 48.871315275840416], ""type"": ""Point""}";48.871315275840416, 2.323915611687755
2016-520;2016;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;RUE  DE MADRID;75008;2016-04-14;2016-04-14;2.320229;48.878256;"{""coordinates"": [2.3202289996189776, 48.87825600016619], ""type"": ""Point""}";48.87825600016619, 2.3202289996189776
2016-528;2016;Long métrage;L'AMANT D'UN JOUR;PHILIPPE GARREL;SBS FILMS;22  RUE  DES LILAS;75019;2016-07-12;2016-07-12;2.396648;48.879595;"{""coordinates"": [2.396647999546958, 48.87959499972476], ""type"": ""Point""}";48.87959499972476, 2.396647999546958
2016-602;2016;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;PARC  DU CHAMP DE MARS;75007;2016-10-12;2016-10-12;2.304772;48.854395;"{""coordinates"": [2.304771999661775, 48.85439499973488], ""type"": ""Point""}";48.85439499973488, 2.304771999661775
2016-2121;2016;Série TV;ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;SON ET LUMIERE;5  RUE  SAINTE HELENE;75013;2016-06-28;2016-06-28;2.352439;48.818568;"{""coordinates"": [2.3524390000332946, 48.818567999709025], ""type"": ""Point""}";48.818567999709025, 2.3524390000332946
2016-2145;2016;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;CARREFOUR  AVENUE DE VILLIERS;75017;2016-04-14;2016-04-14;2.303829;48.883862;"{""coordinates"": [2.303828999614082, 48.88386200028764], ""type"": ""Point""}";48.88386200028764, 2.303828999614082
2016-2147;2016;Long métrage;DIANE A LES EPAULES;FABIEN GORGEART;PETIT FILM;109/25  RUE  DE LA DUEE;75020;2016-09-06;2016-09-06;2.396809;48.871366;"{""coordinates"": [2.3968090004374454, 48.871365999656334], ""type"": ""Point""}";48.871365999656334, 2.3968090004374454
2016-2151;2016;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;40  RUE  DE LA VERRERIE;75004;2016-10-01;2016-10-01;2.353417;48.857861;"{""coordinates"": [2.353416999903749, 48.85786099966434], ""type"": ""Point""}";48.85786099966434, 2.353416999903749
2016-2153;2016;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;10/12  BOULEVARD  SAINT MICHEL;75005;2016-10-21;2016-10-21;2.340926;48.847074;"{""coordinates"": [2.340925999476292, 48.84707399975327], ""type"": ""Point""}";48.84707399975327, 2.340925999476292
2016-2185;2016;Long métrage;SIMONE BENLOULOU;MYRIAM AZIZA;INCOGNITA;5  RUE  DE DUNKERQUE;75010;2016-10-14;2016-10-14;2.358142;48.879301;"{""coordinates"": [2.3581420003459965, 48.87930100038522], ""type"": ""Point""}";48.87930100038522, 2.3581420003459965
2020-708;2020;Série TV;The Pursuit of Love;Emily Mortimer;Froggie production;pont neuf, 75001 paris;75001;2020-10-27;2020-10-27;2.34248745;48.85849331;"{""coordinates"": [2.342487451056846, 48.85849330754624], ""type"": ""Point""}";48.85849330754624, 2.342487451056846
2020-719;2020;Long métrage;Les Promesses;Thomas KRUITHOF;24 25 FILMS;23 avenue de marigny, 75008 paris;75008;2020-11-09;2020-11-09;2.31566468;48.8706767;"{""coordinates"": [2.315664675738418, 48.87067670091144], ""type"": ""Point""}";48.87067670091144, 2.315664675738418
2020-729;2020;Série TV;Luther;David Morley;STORIA TELEVISION Luther;15 rue dareau, 75014 paris;75014;2020-10-27;2020-10-27;2.33805891;48.83132689;"{""coordinates"": [2.338058909893412, 48.83132688648241], ""type"": ""Point""}";48.83132688648241, 2.338058909893412
2019-1687;2019;Série TV;ASTRID ET RAPHAËLLE;FREDERIC BERTHE;JLA PRODUCTIONS;place de l'opéra, 75009 paris;75009;2019-12-03;2019-12-03;2.33187457;48.8710898;"{""coordinates"": [2.331874565395843, 48.87108979466137], ""type"": ""Point""}";48.87108979466137, 2.331874565395843
2019-1083;2019;Long métrage;Par-dessus l'épaule de Jonas;Jérôme Bonnell;DIAPHANA FILMS;avenue de la porte d'asnières, 75017 paris;75017;2019-09-05;2019-09-05;2.30105919;48.89232908;"{""coordinates"": [2.301059189970568, 48.892329074599985], ""type"": ""Point""}";48.892329074599985, 2.301059189970568
2019-1085;2019;Long métrage;Par-dessus l'épaule de Jonas;Jérôme Bonnell;DIAPHANA FILMS;place du général catroux, 75017 paris;75017;2019-09-05;2019-09-07;2.31039346;48.88261831;"{""coordinates"": [2.31039346118722, 48.88261831241982], ""type"": ""Point""}";48.88261831241982, 2.31039346118722
2019-1089;2019;Long métrage;Par-dessus l'épaule de Jonas;Jérôme Bonnell;DIAPHANA FILMS;place du général catroux, 75017 paris;75017;2019-09-05;2019-09-06;2.31039346;48.88261831;"{""coordinates"": [2.31039346118722, 48.88261831241982], ""type"": ""Point""}";48.88261831241982, 2.31039346118722
2019-891;2019;Long métrage;COMÉDIE HUMAINE;XAVIER GIANNOLI;CURIOSA FILMS;place boieldieu, 75002 paris;75002;2019-07-24;2019-07-26;2.33788974;48.87073551;"{""coordinates"": [2.337889737874897, 48.87073551331154], ""type"": ""Point""}";48.87073551331154, 2.337889737874897
2019-892;2019;Long métrage;PARENT D'ELEVE;NOEMIE SAGLIO;RECTANGLE PRODUCTIONS;2 rue bignon, 75012 paris;75012;2019-07-09;2019-07-09;2.38835456;48.84029837;"{""coordinates"": [2.388354559542073, 48.84029836554184], ""type"": ""Point""}";48.84029836554184, 2.388354559542073
2019-894;2019;Série TV;Validé;Franck GASTAMBIDE;Mandarin Télévision;37b rue greneta, 75002 paris;75002;2019-07-24;2019-07-26;2.34978666;48.86515892;"{""coordinates"": [2.3497866646244012, 48.865158924012796], ""type"": ""Point""}";48.865158924012796, 2.3497866646244012
2019-813;2019;Série Web;MAKE UP ON THE WAY;David Hugonot Petit;DOROTHEE PEREZ;198 avenue jean jaurès, 75019 paris;75019;2019-07-10;2019-07-10;2.39181936;48.88828202;"{""coordinates"": [2.3918193551634883, 48.888282022134874], ""type"": ""Point""}";48.888282022134874, 2.3918193551634883
2019-1183;2019;Long métrage;30 Jours Max;Tarek BOUDALI;AXEL FILMS PRODUCTION;5 rue masseran, 75007 paris;75007;2019-09-25;2019-09-27;2.31428431;48.84857173;"{""coordinates"": [2.314284314599524, 48.8485717314847], ""type"": ""Point""}";48.8485717314847, 2.314284314599524
2018-1172;2018;Long métrage;NOTRE DAME;Valérie DONZELLI;RECTANGLE PRODUCTIONS;parvis notre-dame place jean-paul ii, 75004 paris;75004;2018-10-08;2018-10-13;2.34742343;48.85356537;"{""coordinates"": [2.3474234285849933, 48.85356536449259], ""type"": ""Point""}";48.85356536449259, 2.3474234285849933
2018-1188;2018;Téléfilm;Temps de Chien;Edouard DELUC;THE FILM TV;254 rue saint-jacques, 75005 paris;75005;2018-10-12;2018-10-12;2.34128886;48.84303383;"{""coordinates"": [2.3412888571911794, 48.843033830343416], ""type"": ""Point""}";48.843033830343416, 2.3412888571911794
2018-1193;2018;Long métrage;Femme-Enfant;Amro Hamzawi;ECCE FILMS;65 rue manin, 75019 paris;75019;2018-10-12;2018-10-12;2.38110361;48.881909;"{""coordinates"": [2.3811036085702515, 48.881908994343334], ""type"": ""Point""}";48.881908994343334, 2.3811036085702515
2019-850;2019;Série TV;Hanna 2;Eva Husson;NW2020;passage dubail, 75010 paris;75010;2019-07-25;2019-07-25;2.36037043;48.87365741;"{""coordinates"": [2.3603704322107153, 48.87365741267314], ""type"": ""Point""}";48.87365741267314, 2.3603704322107153
2019-1188;2019;Long métrage;Les Meilleures;Marion Desseigne Ravel;31 Juin Films;rue julien lacroix, 75020 paris;75020;2019-09-24;2019-09-25;2.38427949;48.87023482;"{""coordinates"": [2.3842794935860545, 48.87023482173491], ""type"": ""Point""}";48.87023482173491, 2.3842794935860545
2019-1190;2019;Long métrage;Les Meilleures;Marion Desseigne Ravel;31 Juin Films;25 quai de l'oise, 75019 paris;75019;2019-09-25;2019-09-26;2.3847286;48.89141463;"{""coordinates"": [2.384728600842913, 48.89141462643415], ""type"": ""Point""}";48.89141462643415, 2.384728600842913
2019-1193;2019;Long métrage;EIFFEL;MARTIN BOURBOULON;VVZ;27 rue gabrielle, 75018 paris;75018;2019-09-18;2019-09-19;2.3403189;48.88581023;"{""coordinates"": [2.340318898755584, 48.8858102272664], ""type"": ""Point""}";48.8858102272664, 2.340318898755584
2019-657;2019;Long métrage;Maoussi;Charlotte Schiøler;C.S. Productions;31b rue de tourtille, 75020 paris;75020;2019-06-16;2019-06-18;2.38083004;48.87172837;"{""coordinates"": [2.3808300413389105, 48.87172837237473], ""type"": ""Point""}";48.87172837237473, 2.3808300413389105
2019-681;2019;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;3 rue des saints-pères, 75006 paris;75006;2019-06-14;2019-06-14;2.33304563;48.85787922;"{""coordinates"": [2.3330456294210147, 48.85787922243188], ""type"": ""Point""}";48.85787922243188, 2.3330456294210147
2019-1016;2019;Série TV;GRAND'MAISON TOKYO;Ayuko TSUKAHARA,;LUTETIA FILMS;avenue de l'opéra, 75001 paris;75001;2019-08-01;2019-08-01;2.33367533;48.86751612;"{""coordinates"": [2.3336753282538574, 48.867516114255984], ""type"": ""Point""}";48.867516114255984, 2.3336753282538574
2019-1025;2019;Long métrage;A D N;Maïwenn;WHY NOT PRODUCTIONS;rue de lyon, 75012 paris;75012;2019-08-12;2019-08-12;2.37103531;48.84944136;"{""coordinates"": [2.371035305287777, 48.84944135735449], ""type"": ""Point""}";48.84944135735449, 2.371035305287777
2019-1036;2019;Série TV;ENGRENAGES SAISON 8;Nicolas Guicheteau;SON ET LUMIERE;9 rue de chartres, 75018 paris;75018;2019-09-07;2019-09-09;2.3544731;48.88448094;"{""coordinates"": [2.3544731045674006, 48.88448094362966], ""type"": ""Point""}";48.88448094362966, 2.3544731045674006
2019-72;2019;Téléfilm;Des rêves au-dessus de leur tête;Arnaud Sélignac;SON ET LUMIERE;61 rue riquet, 75019 paris;75019;2019-01-14;2019-01-14;2.36854896;48.88952953;"{""coordinates"": [2.368548958383424, 48.88952952542255], ""type"": ""Point""}";48.88952952542255, 2.368548958383424
2018-1246;2018;Long métrage;Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;17 passage courtois, 75011 paris;75011;2018-10-17;2018-10-18;2.38701961;48.85727346;"{""coordinates"": [2.387019614142863, 48.85727345542823], ""type"": ""Point""}";48.85727345542823, 2.387019614142863
2019-24;2019;Long métrage;Kizie aur Manny;Mukesh Chhabra;Jet Films Paris;7 rue de l'echelle, 75001 paris;75001;2019-01-11;2019-01-12;2.33420223;48.86402794;"{""coordinates"": [2.3342022319280753, 48.864027940393214], ""type"": ""Point""}";48.864027940393214, 2.3342022319280753
2019-917;2019;Long métrage;PARENT D'ELEVE;NOEMIE SAGLIO;RECTANGLE PRODUCTIONS;21 rue du colonel rozanoff, 75012 paris;75012;2019-08-02;2019-08-02;2.3871112;48.84544754;"{""coordinates"": [2.3871111964475102, 48.845447541614924], ""type"": ""Point""}";48.845447541614924, 2.3871111964475102
2019-931;2019;Série TV;La Garçonne;Paolo Barzman;Mother Production;rue jules siegfried, 75020 paris;75020;2019-08-05;2019-08-06;2.40757939;48.86608517;"{""coordinates"": [2.4075793850080753, 48.866085165201476], ""type"": ""Point""}";48.866085165201476, 2.4075793850080753
2019-938;2019;Long métrage;T'as Pécho?;Adeline PICAULT;SCARLETT PRODUCTION;59 rue des peupliers, 75013 paris;75013;2019-08-05;2019-08-06;2.35266017;48.82130866;"{""coordinates"": [2.3526601726651983, 48.82130866393449], ""type"": ""Point""}";48.82130866393449, 2.3526601726651983
2019-939;2019;Long métrage;T'as Pécho?;Adeline PICAULT;SCARLETT PRODUCTION;47 rue du javelot, 75013 paris;75013;2019-08-06;2019-08-13;2.36528254;48.82474718;"{""coordinates"": [2.365282535507121, 48.82474717668071], ""type"": ""Point""}";48.82474717668071, 2.365282535507121
2019-1275;2019;Long métrage;Seize Printemps;Suzanne Lindon;Avenue B Productions;173 rue ordener, 75018 paris;75018;2019-09-26;2019-09-26;2.33719418;48.89341654;"{""coordinates"": [2.3371941821808133, 48.89341653636015], ""type"": ""Point""}";48.89341653636015, 2.3371941821808133
2019-971;2019;Série TV;BARON NOIR / DEUXIEME BLOC;ANTOINE CHEVROLLIER;KWAÏ;6 rue du bastion, 75017 paris;75017;2019-08-16;2019-08-16;2.31059472;48.89435573;"{""coordinates"": [2.3105947160543283, 48.894355726609774], ""type"": ""Point""}";48.894355726609774, 2.3105947160543283
