Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2019-930;2019;Série TV;VAMPIRES;VLADIMIR DE FONTENAY/MARIE MONGE;TETRA MEDIA FICTION;21 rue des couronnes, 75020 paris;75020;2019-07-30;2019-07-31;2.38244728;48.86980859;"{""coordinates"": [2.382447276661663, 48.869808593654454], ""type"": ""Point""}";48.869808593654454, 2.382447276661663
2019-944;2019;Série TV;Validé;Franck GASTAMBIDE;Mandarin Télévision;rue jeanne d'arc, 75013 paris;75013;2019-08-07;2019-08-08;2.36369531;48.83324519;"{""coordinates"": [2.363695306870252, 48.83324518529336], ""type"": ""Point""}";48.83324518529336, 2.363695306870252
2019-976;2019;Série TV;La Garçonne;Paolo Barzman;Mother Production;25 quai de la corse, 75004 paris;75004;2019-08-19;2019-08-20;2.34726707;48.85588228;"{""coordinates"": [2.3472670735274184, 48.85588227962415], ""type"": ""Point""}";48.85588227962415, 2.3472670735274184
2019-28;2019;Série TV;FAMILY BUSINESS S1;IGOR GOTESMAN;LES FILMS DU KIOSQUE;5 rue charles-françois dupuis, 75003 paris;75003;2019-01-11;2019-01-11;2.36320402;48.86529777;"{""coordinates"": [2.3632040242972967, 48.86529777026355], ""type"": ""Point""}";48.86529777026355, 2.3632040242972967
2019-32;2019;Long métrage;Kizie aur Manny;Mukesh Chhabra;Jet Films Paris;23 boulevard de ménilmontant, 75011 paris;75011;2019-01-14;2019-01-14;2.38857652;48.85991932;"{""coordinates"": [2.388576517420491, 48.859919320020694], ""type"": ""Point""}";48.859919320020694, 2.388576517420491
2019-48;2019;Série TV;ALICE NEVERS E110-111;SIMON ASTIER;EGO PRODUCTIONS;31 rue titon, 75011 paris;75011;2019-01-17;2019-01-18;2.38618365;48.85276778;"{""coordinates"": [2.386183646293643, 48.85276778282085], ""type"": ""Point""}";48.85276778282085, 2.386183646293643
2019-49;2019;Série TV;ALICE NEVERS E110-111;SIMON ASTIER;EGO PRODUCTIONS;28 avenue junot, 75018 paris;75018;2019-01-14;2019-01-15;2.33611621;48.88897525;"{""coordinates"": [2.336116214568331, 48.88897524951597], ""type"": ""Point""}";48.88897524951597, 2.336116214568331
2019-59;2019;Long métrage;Kizie aur Manny;Mukesh Chhabra;Jet Films Paris;rue des barres, 75004 paris;75004;2019-01-10;2019-01-10;2.35534259;48.85543078;"{""coordinates"": [2.3553425878122063, 48.855430776240176], ""type"": ""Point""}";48.855430776240176, 2.3553425878122063
2019-62;2019;Série TV;DYNASTY;Pascal Verschooris;PENINNSULA TELEVISION;30 place de la madeleine, 75008 paris;75008;2019-01-07;2019-01-07;2.32555034;48.87079714;"{""coordinates"": [2.3255503431220563, 48.87079714198658], ""type"": ""Point""}";48.87079714198658, 2.3255503431220563
2019-1455;2019;Long métrage;DES JOURS SAUVAGES;David LANZMANN;SINGLE MAN PRODUCTIONS;158 rue du temple, 75003 paris;75003;2019-11-04;2019-11-05;2.35957011;48.86456362;"{""coordinates"": [2.3595701067383206, 48.86456361769222], ""type"": ""Point""}";48.86456361769222, 2.3595701067383206
